date_on_site,title,section,category,status,site_url,content_file,facebook_primary_source,facebook_other_sources,media_count,media_files,notes
2024-12-06,"ЗСУ та св. Миколай, чудове поєднання!",reports,zsu,already_on_live_site,https://avku.org/reports/#report-report-2024-st-nicholas-210,apps/web/src/content/reports/report-2024-st-nicholas-210.md,,,1,images/gallery/Фото звіт 2024/1.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-07,Жодного дня без добрих справ,reports,humanitarian,already_on_live_site,https://avku.org/reports/#report-report-2024-socks-antonov,apps/web/src/content/reports/report-2024-socks-antonov.md,,,1,images/gallery/Фото звіт 2024/2.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-14,Ментальне здоров’я: підтримка «ВАЛАРТІН ФАРМА»,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-valartin-mental-health,apps/web/src/content/reports/report-2024-valartin-mental-health.md,,,3,images/gallery/Фото звіт 2024/4.jpg | images/gallery/Фото звіт 2024/04.jpg | images/gallery/Фото звіт 2024/044.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-14,Відзнака «Герої без зброї» до Дня волонтера,reports,other,already_on_live_site,https://avku.org/reports/#report-report-2024-volunteer-day-znamennia,apps/web/src/content/reports/report-2024-volunteer-day-znamennia.md,,,1,images/gallery/Фото звіт 2024/3.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-14,Тепла багато не буває: готуємо грілки для ЗСУ,reports,other,already_on_live_site,https://avku.org/reports/#report-report-2024-warmers-production,apps/web/src/content/reports/report-2024-warmers-production.md,,,5,images/gallery/Фото звіт 2024/5.jpg | images/gallery/Фото звіт 2024/05.jpg | images/gallery/Фото звіт 2024/055.jpg | images/gallery/Фото звіт 2024/0555.jpg | images/gallery/Фото звіт 2024/05555.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-17,Світло віри: служіння Митрополита Сергія та волонтерів,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-mariupol-hub-serhiy,apps/web/src/content/reports/report-2024-mariupol-hub-serhiy.md,,,8,images/gallery/Фото звіт 2024/5.jpg | images/gallery/Фото звіт 2024/13.jpg | images/gallery/Фото звіт 2024/14.jpg | images/gallery/Фото звіт 2024/15.jpg | images/gallery/Фото звіт 2024/16.jpg | images/gallery/Фото звіт 2024/17.jpg | images/gallery/Фото звіт 2024/18.jpg | images/gallery/Фото звіт 2024/19.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-19,Особливі гості: зустріч з Ростиславом Кирницьким,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-dec-19-rostyslav-visit,apps/web/src/content/reports/report-2024-dec-19-rostyslav-visit.md,,,1,images/gallery/Фото звіт 2024/20.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-19,Агенти змін: форум волонтерів пробації,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-probation-forum,apps/web/src/content/reports/report-2024-probation-forum.md,,,13,images/gallery/Фото звіт 2024/21.jpg | images/gallery/Фото звіт 2024/22.jpg | images/gallery/Фото звіт 2024/23.jpg | images/gallery/Фото звіт 2024/24.jpg | images/gallery/Фото звіт 2024/25.jpg | images/gallery/Фото звіт 2024/26.jpg | images/gallery/Фото звіт 2024/27.jpg | images/gallery/Фото звіт 2024/28.jpg | images/gallery/Фото звіт 2024/29.jpg | images/gallery/Фото звіт 2024/30.jpg | images/gallery/Фото звіт 2024/31.jpg | images/gallery/Фото звіт 2024/32.jpg | images/gallery/Фото звіт 2024/33.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-21,Інновації для фронту: закрита конференція безпілотних систем,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-drone-conference,apps/web/src/content/reports/report-2024-drone-conference.md,,,3,images/gallery/Фото звіт 2024/35.jpg | images/gallery/Фото звіт 2024/36.jpg | images/gallery/Фото звіт 2024/37.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-23,Різдво з 210 ОШП: подарунки та спільна молитва,reports,zsu,already_on_live_site,https://avku.org/reports/#report-report-2024-christmas-210-cats,apps/web/src/content/reports/report-2024-christmas-210-cats.md,,,8,images/gallery/Фото звіт 2024/41.jpg | images/gallery/Фото звіт 2024/42.jpg | images/gallery/Фото звіт 2024/43.jpg | images/gallery/Фото звіт 2024/44.jpg | images/gallery/Фото звіт 2024/45.jpg | images/gallery/Фото звіт 2024/46.jpg | images/gallery/Фото звіт 2024/47.jpg | images/gallery/Фото звіт 2024/48.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-24,Спільна молитва та різдвяні дарунки для 210 ОШП,reports,zsu,already_on_live_site,https://avku.org/reports/#report-report-2024-christmas-prayer-210,apps/web/src/content/reports/report-2024-christmas-prayer-210.md,,,5,images/gallery/Фото звіт 2024/49.jpg | images/gallery/Фото звіт 2024/50.jpg | images/gallery/Фото звіт 2024/51.jpg | images/gallery/Фото звіт 2024/52.jpg | images/gallery/Фото звіт 2024/53.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-25,Різдвяна місія: Біличанські Котики та Ростислав Кирницький,reports,zsu,already_on_live_site,https://avku.org/reports/#report-report-2024-christmas-delivery-bilychanski,apps/web/src/content/reports/report-2024-christmas-delivery-bilychanski.md,,,2,images/gallery/Фото звіт 2024/54.jpg | images/gallery/Фото звіт 2024/55.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-26,Різдвяна молитва та колядки: єднання духу,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-christmas-service-vvedennya,apps/web/src/content/reports/report-2024-christmas-service-vvedennya.md,,,2,images/gallery/Фото звіт 2024/56.jpg | images/gallery/Фото звіт 2024/57.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-26,Танець добра: 58 000 грн на ЗСУ від Dance Studio Luna,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-luna-charity-show,apps/web/src/content/reports/report-2024-luna-charity-show.md,,,7,images/gallery/Фото звіт 2024/58.jpg | images/gallery/Фото звіт 2024/59.jpg | images/gallery/Фото звіт 2024/60.jpg | images/gallery/Фото звіт 2024/61.jpg | images/gallery/Фото звіт 2024/64.jpg | images/gallery/Фото звіт 2024/62.jpg | images/gallery/Фото звіт 2024/63.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-26,Новорічні ініціативи наших партнерів,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-new-year-event,apps/web/src/content/reports/report-2024-new-year-event.md,,,7,images/gallery/Фото звіт 2024/65.jpg | images/gallery/Фото звіт 2024/66.jpg | images/gallery/Фото звіт 2024/67.jpg | images/gallery/Фото звіт 2024/68.jpg | images/gallery/Фото звіт 2024/69.jpg | images/gallery/Фото звіт 2024/70.jpg | images/gallery/Фото звіт 2024/71.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-28,Різдвяна коляда для 210 ОШП від капели Лятошинського,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-liatoshynsky-choir-carols,apps/web/src/content/reports/report-2024-liatoshynsky-choir-carols.md,,,2,images/gallery/Фото звіт 2024/74.jpg | images/gallery/Фото звіт 2024/75.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-29,Храмове свято Остробрамської ікони: радість громади,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-ostrobramska-feast,apps/web/src/content/reports/report-2024-ostrobramska-feast.md,,,11,images/gallery/Фото звіт 2024/76.jpg | images/gallery/Фото звіт 2024/77.jpg | images/gallery/Фото звіт 2024/78.jpg | images/gallery/Фото звіт 2024/79.jpg | images/gallery/Фото звіт 2024/80.jpg | images/gallery/Фото звіт 2024/81.jpg | images/gallery/Фото звіт 2024/82.jpg | images/gallery/Фото звіт 2024/83.jpg | images/gallery/Фото звіт 2024/84.jpg | images/gallery/Фото звіт 2024/85.jpg | images/gallery/Фото звіт 2024/86.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2024-12-31,Передноворічна підтримка 95-ї бригади,reports,zsu,already_on_live_site,https://avku.org/reports/#report-report-2024-new-year-95odshbr,apps/web/src/content/reports/report-2024-new-year-95odshbr.md,,,1,images/gallery/Фото звіт 2024/88.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2025-01-01,Системна підтримка: підсумки роботи партнерів,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2024-kolodii-bohatyrchuk-results,apps/web/src/content/reports/report-2024-kolodii-bohatyrchuk-results.md,,,1,images/gallery/Фото звіт 2024/89.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2025-01-01,«Біличанські Котики»: незламна праця у 2025 році,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2025-bilychanski-kotyky-start,apps/web/src/content/reports/report-2025-bilychanski-kotyky-start.md,,,10,images/gallery/Фото звіт 2025/8-1.jpg | images/gallery/Фото звіт 2025/8-2.jpg | images/gallery/Фото звіт 2025/8-3.jpg | images/gallery/Фото звіт 2025/8-4.jpg | images/gallery/Фото звіт 2025/8-5.jpg | images/gallery/Фото звіт 2025/8-6.jpg | images/gallery/Фото звіт 2025/8-7.jpg | images/gallery/Фото звіт 2025/8-8.jpg | images/gallery/Фото звіт 2025/8-9.jpg | images/gallery/Фото звіт 2025/8-10.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2025-01-05,Донецький напрямок: звіт від «Біличанських Котиків»,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2025-donetsk-aid-bilychanski,apps/web/src/content/reports/report-2025-donetsk-aid-bilychanski.md,,,1,images/gallery/Фото звіт 2025/10.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
2025-01-06,Підтримка «Бойових Швачок»: передали набори харчування,reports,partners,already_on_live_site,https://avku.org/reports/#report-report-2025-combat-seamstresses,apps/web/src/content/reports/report-2025-combat-seamstresses.md,,,2,images/gallery/Фото звіт 2025/11-1.jpg | images/gallery/Фото звіт 2025/11-2.jpg,Дата из сайта; даты события и Facebook-публикации независимо не проверены. В записи нет ссылки на исходный Facebook-пост.
